GEO_ID,B22005E_001E,B22005E_001M,B22005E_002E,B22005E_002M,B22005E_003E,B22005E_003M,NAME,B22005E_001MA,B22005E_001EA,B22005E_002MA,B22005E_002EA,B22005E_003EA,B22005E_003MA,state
0400000US01,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,01
0400000US02,1792,575,761,409,1031,571,Alaska,null,null,null,null,null,null,02
0400000US04,3355,909,811,362,2544,817,Arizona,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,05
0400000US06,35541,2668,4997,1039,30544,2592,California,null,null,null,null,null,null,06
0400000US08,1663,611,338,250,1325,618,Colorado,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,11
0400000US12,2689,960,199,295,2490,915,Florida,null,null,null,null,null,null,12
0400000US13,1084,439,58,51,1026,438,Georgia,null,null,null,null,null,null,13
0400000US15,34504,2229,9386,1352,25118,2124,Hawaii,null,null,null,null,null,null,15
0400000US16,361,288,56,51,305,292,Idaho,null,null,null,null,null,null,16
0400000US17,1319,529,162,184,1157,491,Illinois,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,19
0400000US20,437,271,168,168,269,193,Kansas,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,Maine,null,null,null,null,null,null,23
0400000US24,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,24
0400000US25,641,460,212,213,429,415,Massachusetts,null,null,null,null,null,null,25
0400000US26,1112,684,222,247,890,631,Michigan,null,null,null,null,null,null,26
0400000US27,552,280,139,140,413,265,Minnesota,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,28
0400000US29,1908,725,572,408,1336,745,Missouri,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,Montana,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,31
0400000US32,5047,852,1240,510,3807,789,Nevada,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,33
0400000US34,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,34
0400000US35,518,265,159,164,359,218,New Mexico,null,null,null,null,null,null,35
0400000US36,2876,993,932,502,1944,825,New York,null,null,null,null,null,null,36
0400000US37,1759,737,212,192,1547,709,North Carolina,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,38
0400000US39,942,518,260,216,682,436,Ohio,null,null,null,null,null,null,39
0400000US40,1275,509,67,46,1208,511,Oklahoma,null,null,null,null,null,null,40
0400000US41,3823,885,1607,864,2216,878,Oregon,null,null,null,null,null,null,41
0400000US42,725,386,149,199,576,350,Pennsylvania,null,null,null,null,null,null,42
0400000US44,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,44
0400000US45,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,46
0400000US47,976,479,127,156,849,447,Tennessee,null,null,null,null,null,null,47
0400000US48,5581,1259,821,410,4760,1241,Texas,null,null,null,null,null,null,48
0400000US49,4791,623,1363,538,3428,684,Utah,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,50
0400000US51,1490,616,286,282,1204,491,Virginia,null,null,null,null,null,null,51
0400000US53,10410,1398,3122,673,7288,1514,Washington,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,54
0400000US55,549,352,203,159,346,304,Wisconsin,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,56
0400000US72,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,72
