C05003E_001E,C05003E_001EA,C05003E_001M,C05003E_001MA,C05003E_002E,C05003E_002EA,C05003E_002M,C05003E_002MA,C05003E_003E,C05003E_003EA,C05003E_003M,C05003E_003MA,C05003E_004E,C05003E_004EA,C05003E_004M,C05003E_004MA,C05003E_005E,C05003E_005EA,C05003E_005M,C05003E_005MA,C05003E_006E,C05003E_006EA,C05003E_006M,C05003E_006MA,C05003E_007E,C05003E_007EA,C05003E_007M,C05003E_007MA,C05003E_008E,C05003E_008EA,C05003E_008M,C05003E_008MA,C05003E_009E,C05003E_009EA,C05003E_009M,C05003E_009MA,C05003E_010E,C05003E_010EA,C05003E_010M,C05003E_010MA,C05003E_011E,C05003E_011EA,C05003E_011M,C05003E_011MA,C05003E_012E,C05003E_012EA,C05003E_012M,C05003E_012MA,C05003E_013E,C05003E_013EA,C05003E_013M,C05003E_013MA,C05003E_014E,C05003E_014EA,C05003E_014M,C05003E_014MA,C05003E_015E,C05003E_015EA,C05003E_015M,C05003E_015MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
5351,null,962,null,3432,null,755,null,1218,null,437,null,1218,null,437,null,0,null,244,null,2214,null,515,null,1628,null,393,null,586,null,361,null,1919,null,464,null,485,null,376,null,485,null,376,null,0,null,244,null,1434,null,295,null,1271,null,274,null,163,null,168,null,0400000US02,Alaska,02
11340,null,2213,null,5909,null,1316,null,1371,null,577,null,1371,null,577,null,0,null,305,null,4538,null,915,null,4129,null,910,null,409,null,256,null,5431,null,1400,null,1717,null,848,null,1717,null,848,null,0,null,305,null,3714,null,1200,null,3120,null,1227,null,594,null,531,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
137544,null,4945,null,69154,null,3202,null,17267,null,1725,null,16014,null,1696,null,1253,null,589,null,51887,null,2495,null,34253,null,2218,null,17634,null,2359,null,68390,null,3198,null,16490,null,2033,null,15861,null,2069,null,629,null,415,null,51900,null,2236,null,34376,null,2783,null,17524,null,2631,null,0400000US06,California,06
5737,null,1381,null,2472,null,621,null,621,null,309,null,621,null,309,null,0,null,279,null,1851,null,545,null,1713,null,525,null,138,null,182,null,3265,null,999,null,1391,null,721,null,1391,null,721,null,0,null,279,null,1874,null,678,null,1842,null,686,null,32,null,55,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
8906,null,2648,null,4561,null,1549,null,1448,null,760,null,1380,null,752,null,68,null,112,null,3113,null,1054,null,2038,null,842,null,1075,null,661,null,4345,null,1424,null,1309,null,684,null,1309,null,684,null,0,null,305,null,3036,null,1001,null,1810,null,1010,null,1226,null,563,null,0400000US12,Florida,12
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US13,Georgia,13
114085,null,4235,null,57521,null,2576,null,15525,null,1384,null,14912,null,1451,null,613,null,448,null,41996,null,2003,null,33411,null,2542,null,8585,null,1884,null,56564,null,2627,null,14238,null,1238,null,13287,null,1341,null,951,null,612,null,42326,null,2024,null,35909,null,2319,null,6417,null,1755,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
