GEO_ID,B01002G_001E,B01002G_001M,B01002G_002E,B01002G_002M,B01002G_003E,B01002G_003M,NAME,B01002G_001EA,B01002G_001MA,B01002G_002EA,B01002G_002MA,B01002G_003MA,B01002G_003EA,state
0400000US01,24.6,2.6,20.4,4.2,30.4,7.3,Alabama,null,null,null,null,null,null,01
0400000US02,16.8,1.1,17.6,1.9,16.5,0.9,Alaska,null,null,null,null,null,null,02
0400000US04,16.7,0.9,16.7,1.2,16.6,1.1,Arizona,null,null,null,null,null,null,04
0400000US05,20.8,6.1,17.4,7.1,23.5,6.5,Arkansas,null,null,null,null,null,null,05
0400000US06,18.6,0.4,18.4,0.5,18.8,0.4,California,null,null,null,null,null,null,06
0400000US08,17.5,0.9,17.2,1.8,17.7,1.2,Colorado,null,null,null,null,null,null,08
0400000US09,18.2,1.5,16.3,2.1,19.4,1.8,Connecticut,null,null,null,null,null,null,09
0400000US10,14.8,4.4,11.7,4.2,19.5,3.5,Delaware,null,null,null,null,null,null,10
0400000US11,25.4,3.4,18.8,6.9,27.7,4.8,District of Columbia,null,null,null,null,null,null,11
0400000US12,22.2,1.2,23.0,1.9,21.5,1.6,Florida,null,null,null,null,null,null,12
0400000US13,17.3,1.1,17.2,1.6,17.4,1.5,Georgia,null,null,null,null,null,null,13
0400000US15,22.9,1.0,22.1,1.2,23.6,1.1,Hawaii,null,null,null,null,null,null,15
0400000US16,18.3,1.4,19.0,3.1,17.0,2.0,Idaho,null,null,null,null,null,null,16
0400000US17,17.0,1.1,16.2,1.5,17.8,1.2,Illinois,null,null,null,null,null,null,17
0400000US18,17.9,0.9,17.4,1.0,18.5,1.2,Indiana,null,null,null,null,null,null,18
0400000US19,13.6,1.6,12.8,2.5,14.0,2.8,Iowa,null,null,null,null,null,null,19
0400000US20,16.6,1.2,15.4,1.5,18.0,1.7,Kansas,null,null,null,null,null,null,20
0400000US21,15.8,2.1,15.8,2.3,15.8,3.5,Kentucky,null,null,null,null,null,null,21
0400000US22,20.6,3.8,17.5,2.4,26.8,4.1,Louisiana,null,null,null,null,null,null,22
0400000US23,22.9,5.6,26.3,5.7,21.1,3.2,Maine,null,null,null,null,null,null,23
0400000US24,18.2,1.7,16.2,1.9,20.6,1.6,Maryland,null,null,null,null,null,null,24
0400000US25,19.6,1.1,19.3,1.6,19.9,1.3,Massachusetts,null,null,null,null,null,null,25
0400000US26,18.6,0.7,17.7,1.0,19.5,1.3,Michigan,null,null,null,null,null,null,26
0400000US27,14.8,0.9,14.3,1.3,15.4,1.8,Minnesota,null,null,null,null,null,null,27
0400000US28,19.2,3.2,21.9,3.5,16.7,2.6,Mississippi,null,null,null,null,null,null,28
0400000US29,18.7,1.3,17.8,1.8,20.2,2.1,Missouri,null,null,null,null,null,null,29
0400000US30,22.4,1.7,20.3,2.7,26.3,4.0,Montana,null,null,null,null,null,null,30
0400000US31,17.5,1.9,16.3,1.7,20.4,3.2,Nebraska,null,null,null,null,null,null,31
0400000US32,16.0,1.4,15.7,1.7,16.3,2.1,Nevada,null,null,null,null,null,null,32
0400000US33,19.4,5.3,18.9,3.8,25.8,14.0,New Hampshire,null,null,null,null,null,null,33
0400000US34,21.4,2.0,21.8,2.8,20.9,2.7,New Jersey,null,null,null,null,null,null,34
0400000US35,19.9,2.8,18.8,5.5,20.0,2.6,New Mexico,null,null,null,null,null,null,35
0400000US36,21.7,1.0,20.3,1.2,22.8,1.2,New York,null,null,null,null,null,null,36
0400000US37,17.5,0.9,16.4,1.5,18.8,1.5,North Carolina,null,null,null,null,null,null,37
0400000US38,17.9,3.9,13.0,7.0,21.5,5.2,North Dakota,null,null,null,null,null,null,38
0400000US39,17.1,1.0,16.9,1.2,17.3,1.7,Ohio,null,null,null,null,null,null,39
0400000US40,24.3,0.6,23.1,1.1,25.5,1.4,Oklahoma,null,null,null,null,null,null,40
0400000US41,22.0,1.6,21.1,1.3,23.9,1.8,Oregon,null,null,null,null,null,null,41
0400000US42,14.9,1.0,14.4,1.1,16.0,1.5,Pennsylvania,null,null,null,null,null,null,42
0400000US44,19.7,1.7,17.8,3.5,20.2,2.2,Rhode Island,null,null,null,null,null,null,44
0400000US45,16.3,1.9,17.3,3.4,15.5,2.1,South Carolina,null,null,null,null,null,null,45
0400000US46,16.6,4.6,18.7,7.8,15.4,3.9,South Dakota,null,null,null,null,null,null,46
0400000US47,18.7,2.4,18.2,4.1,18.8,2.9,Tennessee,null,null,null,null,null,null,47
0400000US48,19.4,0.7,19.3,0.9,19.5,0.9,Texas,null,null,null,null,null,null,48
0400000US49,14.8,0.9,14.3,1.6,15.2,1.2,Utah,null,null,null,null,null,null,49
0400000US50,23.2,3.6,21.3,3.5,30.6,14.0,Vermont,null,null,null,null,null,null,50
0400000US51,17.7,1.0,16.5,1.5,19.0,1.3,Virginia,null,null,null,null,null,null,51
0400000US53,19.0,0.7,18.5,1.0,19.5,1.1,Washington,null,null,null,null,null,null,53
0400000US54,18.4,2.0,18.9,2.5,16.9,3.8,West Virginia,null,null,null,null,null,null,54
0400000US55,16.3,1.3,16.0,1.7,16.5,1.9,Wisconsin,null,null,null,null,null,null,55
0400000US56,24.4,6.1,25.9,9.0,23.3,4.9,Wyoming,null,null,null,null,null,null,56
0400000US72,32.9,1.4,30.7,1.5,34.7,1.4,Puerto Rico,null,null,null,null,null,null,72
